date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-01-02 00:00:00+00:00,300.35,300.6,295.19,296.24,33911864,72.4063380086,72.4666063106,71.1624002556,71.4155271239,135647456,0.0,1.0
2020-01-03 00:00:00+00:00,297.43,300.58,296.5,297.15,36633878,71.7024042414,72.4617848464,71.478206158,71.6349037431,146535512,0.0,1.0
2020-01-06 00:00:00+00:00,299.8,299.96,292.75,293.79,29644644,72.2737477442,72.3123194575,70.5741816282,70.8248977644,118578576,0.0,1.0
2020-01-07 00:00:00+00:00,298.39,300.9,297.48,299.84,27877655,71.933834521,72.538928273,71.7144579018,72.2833906725,111510620,0.0,1.0
2020-01-08 00:00:00+00:00,303.19,304.44,297.16,297.16,33090946,73.0909859192,73.3923274291,71.6373144752,71.6373144752,132363784,0.0,1.0
2020-01-09 00:00:00+00:00,309.63,310.43,306.2,307.24,42621542,74.6434973784,74.8363559448,73.8166162751,74.0673324114,170486168,0.0,1.0
2020-01-10 00:00:00+00:00,310.33,312.67,308.25,310.6,35217272,74.812248624,75.3763599306,74.3108163514,74.8773383901,140869088,0.0,1.0
2020-01-13 00:00:00+00:00,316.96,317.07,311.15,311.64,30028742,76.4105639927,76.4370820456,75.0099286545,75.1280545264,120114968,0.0,1.0
2020-01-14 00:00:00+00:00,312.68,317.57,312.17,316.7,40653457,75.3787706627,76.5576186495,75.2558233266,76.3478849586,162613828,0.0,1.0
2020-01-15 00:00:00+00:00,311.34,315.5,309.55,311.85,30480882,75.055732564,76.0585971091,74.6242115218,75.1786799001,121923528,0.0,1.0
2020-01-16 00:00:00+00:00,315.24,315.7,312.09,313.59,27207254,75.995918075,76.1068117507,75.23653747,75.5981472819,108829016,0.0,1.0
2020-01-17 00:00:00+00:00,318.73,318.74,315.0,316.27,34454117,76.8372635708,76.8396743028,75.9380605051,76.2442234792,137816468,0.0,1.0
2020-01-21 00:00:00+00:00,316.57,319.02,316.0,317.19,27235039,76.3165454416,76.9071748011,76.1791337131,76.4660108305,108940156,0.0,1.0
2020-01-22 00:00:00+00:00,317.7,319.99,317.31,318.58,25458115,76.5889581666,77.1410158128,76.4949396155,76.8011025896,101832460,0.0,1.0
2020-01-23 00:00:00+00:00,319.23,319.56,315.65,317.92,26117993,76.9578001747,77.0373543334,76.0947580903,76.6419942723,104471972,0.0,1.0
2020-01-24 00:00:00+00:00,318.31,323.33,317.52,320.25,36634380,76.7360128234,77.9462003274,76.5455649891,77.2036948469,146537520,0.0,1.0
2020-01-27 00:00:00+00:00,308.95,311.77,304.88,310.06,40485005,74.479567597,75.1593940434,73.4983996406,74.7471588578,161940020,0.0,1.0
2020-01-28 00:00:00+00:00,317.69,318.4,312.19,312.6,40558486,76.5865474345,76.7577094121,75.2606447908,75.359484806,162233944,0.0,1.0
2020-01-29 00:00:00+00:00,324.34,327.85,321.38,324.45,54149928,78.1896842674,79.0358512273,77.4761075718,78.2162023203,216599712,0.0,1.0
2020-01-30 00:00:00+00:00,323.87,324.09,318.75,320.54,31685808,78.0763798596,78.1294159654,76.8420850349,77.2736060772,126743232,0.0,1.0
2020-01-31 00:00:00+00:00,309.51,322.68,308.29,320.93,49897096,74.6145685934,77.7895027422,74.3204592797,77.3676246283,199588384,0.0,1.0
2020-02-03 00:00:00+00:00,308.66,313.49,302.22,304.3,43496401,74.4096563667,75.5740399611,72.8571449075,73.35857718,173985604,0.0,1.0
2020-02-04 00:00:00+00:00,318.85,319.64,313.63,315.31,34154134,76.8661923557,77.05664019,75.6077902102,76.0127931996,136616536,0.0,1.0
2020-02-05 00:00:00+00:00,321.45,324.76,318.95,323.52,29706718,77.4929826964,78.2909350147,76.8902996765,77.9920042369,118826872,0.0,1.0
2020-02-06 00:00:00+00:00,325.21,325.22,320.26,322.57,26356385,78.3994179583,78.4018286904,77.2061055789,77.7629846893,105425540,0.0,1.0
2020-02-07 00:00:00+00:00,320.03,323.4,318.0,322.37,29421012,77.3362851112,78.1506565165,76.8457290422,77.9017536834,117684048,0.77,1.0
2020-02-10 00:00:00+00:00,321.55,321.55,313.85,314.18,27337215,77.7035980299,77.7035980299,75.8428681129,75.9226136807,109348860,0.0,1.0
2020-02-11 00:00:00+00:00,319.61,323.9,318.71,323.6,23580780,77.2347907521,78.2714831345,77.0173028397,78.1989871637,94323120,0.0,1.0
2020-02-12 00:00:00+00:00,327.2,327.22,321.47,321.47,28432573,79.0689388132,79.0737718779,77.684265771,77.684265771,113730292,0.0,1.0
2020-02-13 00:00:00+00:00,324.87,326.22,323.35,324.19,23686892,78.5058867734,78.832118642,78.1385738547,78.3415625729,94747568,0.0,1.0
2020-02-14 00:00:00+00:00,324.95,325.98,322.85,324.74,20028447,78.5252190323,78.7741218653,78.0177472367,78.4744718527,80113788,0.0,1.0
2020-02-18 00:00:00+00:00,319.0,319.75,314.61,315.36,38190545,77.0873822782,77.2686222052,76.0265245722,76.2077644992,152762180,0.0,1.0
2020-02-19 00:00:00+00:00,323.62,324.57,320.0,320.0,23495991,78.2038202284,78.4333908026,77.3290355142,77.3290355142,93983964,0.0,1.0
2020-02-20 00:00:00+00:00,320.3,324.65,318.21,322.63,25141489,77.4015314849,78.4527230615,76.8964762217,77.9645835248,100565956,0.0,1.0
2020-02-21 00:00:00+00:00,313.05,320.45,310.5,318.62,32426415,75.6495455241,77.4377794703,75.0333297723,76.9955540485,129705660,0.0,1.0
2020-02-24 00:00:00+00:00,298.18,304.18,289.23,297.26,55548828,72.056161905,73.5060813209,69.893365443,71.8338409279,222195312,0.0,1.0
2020-02-25 00:00:00+00:00,288.08,302.53,286.13,300.95,57668364,69.6154642216,73.1073534816,69.1442404115,72.7255413687,230673456,0.0,1.0
